Município;Classificação de % em relação a população geral;% em relação a população geral;Doses Aplicadas - D1;População
CAPELA DO ALTO;545;12,49940434;2623;20985
AMÉRICO BRASILIENSE;546;12,49756288;5128;41032
TAGUAÍ;547;12,48143696;1765;14141
RIBEIRÃO BRANCO;548;12,4791808;2023;16211
REGINÓPOLIS;549;12,34116092;1214;9837
SUZANO;550;12,33435033;37072;300559
NOVA ODESSA;551;12,32200276;7511;60956
BARRA DO CHAPÉU;552;12,30902778;709;5760
BOITUVA;553;12,30336175;7649;62170
VOTORANTIM;554;12,29055251;15191;123599
RIBEIRÃO CORRENTE;555;12,26851852;583;4752
CANAS;556;12,25980015;638;5204
FRANCO DA ROCHA;557;12,25877361;19184;156492
MONTE MOR;558;12,25598315;7446;60754
IPUÃ;559;12,24403758;2033;16604
IRACEMÁPOLIS;560;12,23693833;3012;24614
UBARANA;561;12,1875;780;6400
POÁ;562;12,1631784;14395;118349
SÃO JOSÉ DA BELA VISTA;563;12,15401786;1089;8960
QUELUZ;564;12,14905189;1653;13606
IGARAÇU DO TIETÊ;565;12,14594529;3006;24749
SEVERÍNIA;566;12,13408074;2143;17661
SANTA LÚCIA;567;12,10752202;1072;8854
TABOÃO DA SERRA;568;12,0993557;35530;293652
VISTA ALEGRE DO ALTO;569;12,09255757;1087;8989
CARAGUATATUBA;570;12,06023227;14881;123389
CAJATI;571;11,99550783;3418;28494
PAULÍNIA;572;11,97735775;13415;112003
DIADEMA;573;11,94497103;50976;426757
BURI;574;11,93087904;2382;19965
ARUJÁ;575;11,91460886;10861;91157
BOM JESUS DOS PERDÕES;576;11,84144699;3077;25985
ITATINGA;577;11,81587878;2472;20921
ITIRAPINA;578;11,81269375;2172;18387
MORRO AGUDO;579;11,80305215;3929;33288
NIPOÃ;580;11,64590412;617;5298
CAIEIRAS;581;11,6010703;11923;102775
CAMPO LIMPO PAULISTA;582;11,59677815;9920;85541
CUBATÃO;583;11,48557276;15118;131626
SÃO SEBASTIÃO;584;11,47484722;10365;90328
MARABÁ PAULISTA;585;11,44922663;681;5948
SUMARÉ;586;11,41220987;32663;286211
BERTIOGA;587;11,37771735;7364;64723
SANTANA DE PARNAÍBA;588;11,35129057;16153;142301
ÁLVARO DE CARVALHO;589;11,26279864;594;5274
RIO DAS PEDRAS;590;11,19256814;4000;35738
CANITAR;591;11,16780045;591;5292
ALUMÍNIO;592;11,12591251;2088;18767
VARGEM GRANDE PAULISTA;593;11,12067031;5946;53468
HORTOLÂNDIA;594;11,10309529;26010;234259
ORINDIÚVA;595;11,07867668;797;7194
DOBRADA;596;11,05438402;996;9010
CARAPICUÍBA;597;11,05056513;44554;403183
COTIA;598;11,03001483;27973;253608
NOVAIS;599;10,96719933;652;5945
MAIRIPORÃ;600;10,96069141;11173;101937
PRADÓPOLIS;601;10,91756961;2388;21873
IBATÉ;602;10,91283266;3871;35472
RIOLÂNDIA;603;10,90708488;1384;12689
PITANGUEIRAS;604;10,89570858;4367;40080
AVANHANDAVA;605;10,78721409;1495;13859
EMBU-GUAÇU;606;10,5778172;7394;69901
GUARIBA;607;10,54412528;4269;40487
PIRAPORA DO BOM JESUS;608;10,4807592;2010;19178
IPEÚNA;609;10,42018993;801;7687
MAUÁ;610;10,36305994;49489;477552
AREIÓPOLIS;611;10,36027962;1156;11158
COSMÓPOLIS;612;10,35740534;7610;73474
LAVRINHAS;613;10,17644645;744;7311
LUÍS ANTÔNIO;614;10,103322;1545;15292
EMBU DAS ARTES;615;10,0869691;27894;276535
SERRA AZUL;616;10,05940858;1507;14981
ITAPECERICA DA SERRA;617;10,02465356;17810;177662
ENGENHEIRO COELHO;618;9,746341004;2071;21249
ITUPEVA;619;9,703405346;6095;62813
GUAREÍ;620;9,646847038;1822;18887
FRANCISCO MORATO;621;9,545523636;16956;177633
GUARULHOS;622;9,519431141;132522;1392121
FERRAZ DE VASCONCELOS;623;9,469720102;18608;196500
BOM SUCESSO DE ITARARÉ;624;9,387550201;374;3984
VÁRZEA PAULISTA;625;9,353950159;11512;123071
CAJAMAR;626;9,346370005;7284;77934
BARRINHA;627;9,339963834;3099;33180
JANDIRA;628;9,234227104;11668;126356
NOVA CAMPINA;629;9,117647059;899;9860
SANTA GERTRUDES;630;9,082940725;2487;27381
CABREÚVA;631;9,006722322;4542;50429
RIO GRANDE DA SERRA;632;8,983980092;4621;51436
LOUVEIRA;633;8,975256536;4487;49993
IARAS;634;8,931385941;850;9517
ARAÇARIGUAMA;635;8,696412948;1988;22860
TAQUARIVAÍ;636;8,678734563;513;5911
LAVÍNIA;637;8,587708588;1055;12285
IPERÓ;638;8,500158044;3227;37964
POTIM;639;8,332670115;2094;25130
PONTAL;640;8,103909384;4121;50852
ITAPEVI;641;7,943194127;19140;240961
PALMARES PAULISTA;642;7,711701023;1040;13486
ITAQUAQUECETUBA;643;7,568044671;28381;375011
PRACINHA;644;7,098765432;299;4212
BALBINOS;645;5,948769801;353;5934
