Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3532868;Interior;Nova Castilho;51;3;;;
3532900;Interior;Nova Europa;583;21;;;
3533007;Interior;Nova Granada;2137;51;;;
3533106;Interior;Nova Guataporanga;161;2;;;
3533205;Interior;Nova Independência;317;4;;;
3533254;Interior;Novais;226;9;;;
3533304;Interior;Nova Luzitânia;239;8;;;
3533403;Interior;Nova Odessa;4401;120;;;
3533502;Interior;Novo Horizonte;3318;101;;;
3533601;Interior;Nuporanga;263;4;;;
3533700;Interior;Ocauçu;255;3;;;
3533809;Interior;Óleo;58;1;;;
3533908;Interior;Olímpia;6887;177;;;
3534005;Interior;Onda Verde;611;21;;;
3534104;Interior;Oriente;207;11;;;
3534203;Interior;Orindiúva;894;14;;;
3534302;Interior;Orlândia;3044;90;;;
3534401;RMSP (exceto capital);Osasco;31869;1754;;;
3534500;Interior;Oscar Bressane;217;6;;;
3534609;Interior;Osvaldo Cruz;1902;64;;;
3534708;Interior;Ourinhos;8828;194;;;
3534757;Interior;Ouroeste;843;18;;;
3534807;Interior;Ouro Verde;353;9;;;
3534906;Interior;Pacaembu;940;20;;;
3535002;Interior;Palestina;438;21;;;
3535101;Interior;Palmares Paulista;967;29;;;
3535200;Interior;Palmeira d'Oeste;513;10;;;
3535309;Interior;Palmital;1619;24;;;
3535408;Interior;Panorama;831;25;;;
3535507;Interior;Paraguaçu Paulista;2320;59;;;
3535606;Interior;Paraibuna;919;26;;;
3535705;Interior;Paraíso;299;12;;;
3535804;Interior;Paranapanema;1036;48;;;
3535903;Interior;Paranapuã;313;12;;;
3536000;Interior;Parapuã;704;20;;;
3536109;Interior;Pardinho;419;8;;;
3536208;Interior;Pariquera-Açu;1753;45;;;
3536257;Interior;Parisi;304;15;;;
3536307;Interior;Patrocínio Paulista;591;17;;;
3536406;Interior;Paulicéia;300;5;;;
3536505;Interior;Paulínia;11311;194;;;
3536570;Interior;Paulistânia;78;3;;;
3536604;Interior;Paulo de Faria;452;12;;;
3536703;Interior;Pederneiras;2844;67;;;
3536802;Interior;Pedra Bela;162;2;;;
3536901;Interior;Pedranópolis;173;5;;;
3537008;Interior;Pedregulho;246;9;;;
3537107;Interior;Pedreira;2582;42;;;
3537156;Interior;Pedrinhas Paulista;212;3;;;
3537206;Interior;Pedro de Toledo;254;12;;;
3537305;Interior;Penápolis;4499;164;;;
3537404;Interior;Pereira Barreto;1316;35;;;
3537503;Interior;Pereiras;664;11;;;
3537602;Interior;Peruíbe;4888;146;;;
3537701;Interior;Piacatu;527;7;;;
3537800;Interior;Piedade;3287;79;;;
3537909;Interior;Pilar do Sul;1672;48;;;
3538006;Interior;Pindamonhangaba;8487;172;;;
3538105;Interior;Pindorama;852;36;;;
3538204;Interior;Pinhalzinho;512;3;;;
3538303;Interior;Piquerobi;151;3;;;
3538501;Interior;Piquete;281;11;;;
3538600;Interior;Piracaia;2355;22;;;
3538709;Interior;Piracicaba;42226;831;;;
3538808;Interior;Piraju;1153;38;;;
3538907;Interior;Pirajuí;1546;38;;;
3539004;Interior;Pirangi;1196;46;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1305;14;;;
3539202;Interior;Pirapozinho;1712;44;;;
3539301;Interior;Pirassununga;6575;164;;;
3539400;Interior;Piratininga;594;16;;;
3539509;Interior;Pitangueiras;3352;104;;;
3539608;Interior;Planalto;419;7;;;
3539707;Interior;Platina;176;6;;;
3539806;RMSP (exceto capital);Poá;5724;261;;;
3539905;Interior;Poloni;382;9;;;
3540002;Interior;Pompéia;581;12;;;
3540101;Interior;Pongaí;184;7;;;
3540200;Interior;Pontal;4079;123;;;
3540259;Interior;Pontalinda;134;9;;;
3540309;Interior;Pontes Gestal;255;8;;;
3540408;Interior;Populina;127;4;;;
3540507;Interior;Porangaba;487;11;;;
3540606;Interior;Porto Feliz;5295;72;;;
3540705;Interior;Porto Ferreira;3368;94;;;
3540754;Interior;Potim;1342;28;;;
3540804;Interior;Potirendaba;1796;45;;;
3540853;Interior;Pracinha;167;1;;;
3540903;Interior;Pradópolis;1292;26;;;
3541000;Interior;Praia Grande;15010;487;;;
3541059;Interior;Pratânia;474;7;;;
3541109;Interior;Presidente Alves;216;6;;;
3541208;Interior;Presidente Bernardes;781;25;;;
3541307;Interior;Presidente Epitácio;1860;65;;;
3541406;Interior;Presidente Prudente;18591;536;;;
3541505;Interior;Presidente Venceslau;1919;65;;;
3541604;Interior;Promissão;4108;61;;;
3541653;Interior;Quadra;116;5;;;
3541703;Interior;Quatá;794;13;;;
3541802;Interior;Queiroz;155;3;;;
3541901;Interior;Queluz;762;6;;;
3542008;Interior;Quintana;303;8;;;
3542107;Interior;Rafard;596;5;;;
3542206;Interior;Rancharia;2311;41;;;
3542305;Interior;Redenção da Serra;80;1;;;
3542404;Interior;Regente Feijó;463;33;;;
3542503;Interior;Reginópolis;260;8;;;
3542602;Interior;Registro;4746;142;;;
3542701;Interior;Restinga;272;4;;;
3542800;Interior;Ribeira;243;2;;;
3542909;Interior;Ribeirão Bonito;614;17;;;
3543006;Interior;Ribeirão Branco;1124;28;;;
3543105;Interior;Ribeirão Corrente;159;2;;;
3543204;Interior;Ribeirão do Sul;394;4;;;
3543238;Interior;Ribeirão dos Índios;64;5;;;
3543253;Interior;Ribeirão Grande;273;8;;;
3543303;RMSP (exceto capital);Ribeirão Pires;6565;231;;;
3543402;Interior;Ribeirão Preto;52767;1858;;;
3543501;Interior;Riversul;296;21;;;
3543600;Interior;Rifaina;299;6;;;
3543709;Interior;Rincão;308;20;;;
3543808;Interior;Rinópolis;241;5;;;
3543907;Interior;Rio Claro;9156;369;;;
3544004;Interior;Rio das Pedras;2007;61;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;1734;61;;;
3544202;Interior;Riolândia;994;16;;;
3544251;Interior;Rosana;906;21;;;
3544301;Interior;Roseira;986;17;;;
3544400;Interior;Rubiácea;83;4;;;
3544509;Interior;Rubinéia;260;5;;;
3544608;Interior;Sabino;252;21;;;
3544707;Interior;Sagres;105;0;;;
3544806;Interior;Sales;268;18;;;
3544905;Interior;Sales Oliveira;1302;18;;;
3545001;RMSP (exceto capital);Salesópolis;425;33;;;
3545100;Interior;Salmourão;250;18;;;
3545159;Interior;Saltinho;482;8;;;
3545209;Interior;Salto;7195;226;;;
3545308;Interior;Salto de Pirapora;2396;109;;;
3545407;Interior;Salto Grande;488;6;;;
3545506;Interior;Sandovalina;178;7;;;
3545605;Interior;Santa Adélia;986;37;;;
3545704;Interior;Santa Albertina;533;14;;;
3545803;Interior;Santa Bárbara d'Oeste;14373;466;;;
3546009;Interior;Santa Branca;655;14;;;
3546108;Interior;Santa Clara d'Oeste;141;11;;;
3546207;Interior;Santa Cruz da Conceição;446;7;;;
3546256;Interior;Santa Cruz da Esperança;137;3;;;
3546306;Interior;Santa Cruz das Palmeiras;2667;73;;;
3546405;Interior;Santa Cruz do Rio Pardo;2876;54;;;
3546504;Interior;Santa Ernestina;349;8;;;
3546603;Interior;Santa Fé do Sul;2719;68;;;
3546702;Interior;Santa Gertrudes;2399;43;;;
3546801;RMSP (exceto capital);Santa Isabel;4660;186;;;
3546900;Interior;Santa Lúcia;496;11;;;
3547007;Interior;Santa Maria da Serra;362;3;;;
3547106;Interior;Santa Mercedes;117;4;;;
3547205;Interior;Santana da Ponte Pensa;37;2;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;10328;259;;;
3547403;Interior;Santa Rita d'Oeste;169;5;;;
3547502;Interior;Santa Rita do Passa Quatro;1074;24;;;
3547601;Interior;Santa Rosa de Viterbo;1499;26;;;
3547650;Interior;Santa Salete;154;4;;;
